timestamp,sleep_stage,sleep_stage_code,respiratory_rate_bpm
2026-07-21 05:02:52,Light,40002,12
2026-07-21 05:03:52,Light,40002,12
2026-07-21 05:04:52,Light,40002,13
2026-07-21 05:05:52,Light,40002,13
2026-07-21 05:06:52,Light,40002,13
2026-07-21 05:07:52,Deep,40003,13
2026-07-21 05:08:52,Deep,40003,12
2026-07-21 05:09:52,Deep,40003,13
2026-07-21 05:10:52,Deep,40003,12
2026-07-21 05:11:52,Deep,40003,12
2026-07-21 05:12:52,Deep,40003,12
2026-07-21 05:13:52,Deep,40003,14
2026-07-21 05:14:52,Deep,40003,13
2026-07-21 05:15:52,Deep,40003,12
2026-07-21 05:16:52,Deep,40003,0
2026-07-21 05:17:52,Deep,40003,13
2026-07-21 05:18:52,Deep,40003,14
2026-07-21 05:19:52,Deep,40003,12
2026-07-21 05:20:52,Deep,40003,12
2026-07-21 05:21:52,Deep,40003,12
2026-07-21 05:22:52,Deep,40003,0
2026-07-21 05:23:52,Deep,40003,12
2026-07-21 05:24:52,Deep,40003,12
2026-07-21 05:25:52,Deep,40003,13
2026-07-21 05:26:52,Deep,40003,14
2026-07-21 05:27:52,Deep,40003,14
2026-07-21 05:28:52,Deep,40003,12
2026-07-21 05:29:52,REM,40004,14
2026-07-21 05:30:52,REM,40004,15
2026-07-21 05:31:52,REM,40004,16
2026-07-21 05:32:52,REM,40004,17
2026-07-21 05:33:52,REM,40004,18
2026-07-21 05:34:52,REM,40004,21
2026-07-21 05:35:52,REM,40004,20
2026-07-21 05:36:52,REM,40004,20
2026-07-21 05:37:52,REM,40004,18
2026-07-21 05:38:52,REM,40004,17
2026-07-21 05:39:52,REM,40004,17
2026-07-21 05:40:52,REM,40004,18
2026-07-21 05:41:52,REM,40004,-1
2026-07-21 05:42:52,REM,40004,18
2026-07-21 05:43:52,REM,40004,17
2026-07-21 05:44:52,REM,40004,19
2026-07-21 05:45:52,REM,40004,20
2026-07-21 05:46:52,REM,40004,19
2026-07-21 05:47:52,REM,40004,17
2026-07-21 05:48:52,REM,40004,17
2026-07-21 05:49:52,REM,40004,18
2026-07-21 05:50:52,REM,40004,21
2026-07-21 05:51:52,REM,40004,18
2026-07-21 05:52:52,REM,40004,19
2026-07-21 05:53:52,REM,40004,20
2026-07-21 05:54:52,Wake,40001,17
2026-07-21 05:55:52,Wake,40001,15
2026-07-21 05:56:52,Wake,40001,14
2026-07-21 05:57:52,Wake,40001,17
2026-07-21 05:58:52,Wake,40001,16
2026-07-21 05:59:52,Wake,40001,16
2026-07-21 06:00:52,Wake,40001,13
2026-07-21 06:01:52,Wake,40001,17
2026-07-21 06:02:52,Wake,40001,18
2026-07-21 06:03:52,Wake,40001,18
2026-07-21 06:04:52,Wake,40001,16
2026-07-21 06:05:52,Wake,40001,15
2026-07-21 06:06:52,Wake,40001,17
2026-07-21 06:07:52,Wake,40001,16
2026-07-21 06:08:52,Wake,40001,16
2026-07-21 06:09:52,Wake,40001,16
2026-07-21 06:10:52,Wake,40001,17
2026-07-21 06:11:52,Wake,40001,18
2026-07-21 06:12:52,Wake,40001,18
2026-07-21 06:13:52,Wake,40001,16
2026-07-21 06:14:52,Wake,40001,15
2026-07-21 06:15:52,Wake,40001,17
2026-07-21 06:16:52,Wake,40001,16
2026-07-21 06:17:52,Wake,40001,16
